char,codepoint,count
가,U+AC00,658
각,U+AC01,76
간,U+AC04,57
갇,U+AC07,2
갈,U+AC08,19
감,U+AC10,28
갑,U+AC11,6
갔,U+AC14,8
강,U+AC15,14
같,U+AC19,61
갚,U+AC1A,8
개,U+AC1C,19
객,U+AC1D,1
거,U+AC70,323
걱,U+AC71,10
건,U+AC74,166
걷,U+AC77,2
걸,U+AC78,67
검,U+AC80,28
겁,U+AC81,10
것,U+AC83,280
게,U+AC8C,353
겐,U+AC90,13
겠,U+ACA0,134
겨,U+ACA8,26
격,U+ACA9,32
겪,U+ACAA,2
견,U+ACAC,5
결,U+ACB0,22
겼,U+ACBC,2
경,U+ACBD,18
곁,U+ACC1,4
계,U+ACC4,183
고,U+ACE0,543
곡,U+ACE1,2
곤,U+ACE4,3
곧,U+ACE7,5
골,U+ACE8,3
곳,U+ACF3,24
공,U+ACF5,53
곶,U+ACF6,2
과,U+ACFC,76
곽,U+ACFD,1
관,U+AD00,18
광,U+AD11,8
괘,U+AD18,1
괜,U+AD1C,41
괴,U+AD34,14
굉,U+AD49,16
교,U+AD50,2
구,U+AD6C,168
국,U+AD6D,8
군,U+AD70,90
굴,U+AD74,20
궁,U+AD81,2
권,U+AD8C,5
귀,U+ADC0,6
규,U+ADDC,6
균,U+ADE0,7
그,U+ADF8,794
극,U+ADF9,3
근,U+ADFC,10
금,U+AE08,98
급,U+AE09,2
긋,U+AE0B,1
기,U+AE30,447
긴,U+AE34,24
길,U+AE38,65
깃,U+AE43,2
깊,U+AE4A,3
까,U+AE4C,156
깐,U+AE50,7
깔,U+AE54,2
깜,U+AE5C,3
깥,U+AE65,4
깨,U+AE68,9
깼,U+AE7C,1
꺄,U+AE84,2
꺼,U+AEBC,4
껍,U+AECD,2
껏,U+AECF,3
께,U+AED8,33
껴,U+AEF4,3
꼬,U+AF2C,14
꼭,U+AF2D,1
꼴,U+AF34,2
꽤,U+AF64,11
꽥,U+AF65,4
꾸,U+AFB8,9
꾼,U+AFBC,3
꿀,U+AFC0,3
꿈,U+AFC8,4
꿉,U+AFC9,1
꿔,U+AFD4,3
꿨,U+AFE8,1
꿰,U+AFF0,1
뀌,U+B00C,1
뀐,U+B010,2
끄,U+B044,4
끈,U+B048,4
끊,U+B04A,9
끌,U+B04C,6
끓,U+B053,1
끔,U+B054,3
끝,U+B05D,31
끼,U+B07C,10
낄,U+B084,1
낌,U+B08C,2
나,U+B098,648
낙,U+B099,1
난,U+B09C,35
날,U+B0A0,44
남,U+B0A8,32
납,U+B0A9,2
낫,U+B0AB,2
났,U+B0AC,16
낭,U+B0AD,1
낮,U+B0AE,1
낳,U+B0B3,2
내,U+B0B4,125
낸,U+B0B8,7
낼,U+B0BC,7
냈,U+B0C8,3
냉,U+B0C9,5
냐,U+B0D0,105
냔,U+B0D4,1
냥,U+B0E5,1
너,U+B108,227
넉,U+B109,1
넌,U+B10C,4
널,U+B110,1
넓,U+B113,1
넘,U+B118,6
넣,U+B123,15
네,U+B124,207
녀,U+B140,128
녁,U+B141,1
년,U+B144,17
념,U+B150,2
녕,U+B155,4
노,U+B178,18
논,U+B17C,1
놀,U+B180,9
놈,U+B188,78
농,U+B18D,6
높,U+B192,1
놓,U+B193,10
놔,U+B194,3
뇨,U+B1E8,1
누,U+B204,31
눈,U+B208,22
눠,U+B220,1
느,U+B290,24
는,U+B294,911
늘,U+B298,11
능,U+B2A5,23
늦,U+B2A6,11
니,U+B2C8,380
닉,U+B2C9,1
닌,U+B2CC,18
닐,U+B2D0,1
님,U+B2D8,67
닙,U+B2D9,1
닛,U+B2DB,1
다,U+B2E4,885
닥,U+B2E5,2
단,U+B2E8,69
닫,U+B2EB,3
달,U+B2EC,17
담,U+B2F4,5
답,U+B2F5,9
당,U+B2F9,83
대,U+B300,188
댄,U+B304,1
댔,U+B314,1
더,U+B354,38
덕,U+B355,8
던,U+B358,62
덜,U+B35C,1
덤,U+B364,4
덩,U+B369,1
덮,U+B36E,1
데,U+B370,84
델,U+B378,1
도,U+B3C4,459
독,U+B3C5,7
돌,U+B3CC,36
돕,U+B3D5,2
동,U+B3D9,45
돼,U+B3FC,48
됐,U+B410,22
되,U+B418,73
된,U+B41C,42
될,U+B420,19
됩,U+B429,1
두,U+B450,76
둔,U+B454,7
둘,U+B458,22
둬,U+B46C,7
뒤,U+B4A4,23
뒷,U+B4B7,1
드,U+B4DC,241
득,U+B4DD,6
든,U+B4E0,51
듣,U+B4E3,4
들,U+B4E4,266
듭,U+B4ED,1
듯,U+B4EF,2
등,U+B4F1,4
디,U+B514,26
딕,U+B515,26
딘,U+B518,7
딛,U+B51B,1
딜,U+B51C,1
딨,U+B528,1
딪,U+B52A,2
따,U+B530,22
딱,U+B531,6
딴,U+B534,5
땅,U+B545,4
때,U+B54C,76
땐,U+B550,1
땠,U+B560,1
떠,U+B5A0,20
떡,U+B5A1,1
떤,U+B5A4,11
떨,U+B5A8,10
떴,U+B5B4,1
떻,U+B5BB,26
떼,U+B5BC,2
또,U+B610,19
똑,U+B611,9
뚤,U+B6A4,1
뚫,U+B6AB,1
뚱,U+B6B1,1
뛰,U+B6F0,4
뜀,U+B700,1
뜨,U+B728,21
뜩,U+B729,3
뜬,U+B72C,2
뜰,U+B730,2
뜻,U+B73B,10
라,U+B77C,476
락,U+B77D,7
란,U+B780,20
랄,U+B784,4
람,U+B78C,70
랍,U+B78D,1
랐,U+B790,10
랑,U+B791,18
래,U+B798,195
랜,U+B79C,7
랬,U+B7AC,13
략,U+B7B5,1
러,U+B7EC,94
런,U+B7F0,103
럴,U+B7F4,25
럼,U+B7FC,20
럽,U+B7FD,6
렀,U+B800,4
렇,U+B807,165
레,U+B808,60
렉,U+B809,2
려,U+B824,84
력,U+B825,40
련,U+B828,3
렴,U+B834,1
렸,U+B838,23
령,U+B839,6
례,U+B840,4
로,U+B85C,365
록,U+B85D,18
론,U+B860,9
롤,U+B864,1
롭,U+B86D,4
롱,U+B871,1
료,U+B8CC,10
룡,U+B8E1,3
루,U+B8E8,13
룬,U+B8EC,1
룰,U+B8F0,3
뤄,U+B904,1
류,U+B958,1
률,U+B960,5
르,U+B974,316
륵,U+B975,2
른,U+B978,112
를,U+B97C,300
름,U+B984,19
릅,U+B985,1
릇,U+B987,8
리,U+B9AC,460
린,U+B9B0,20
릴,U+B9B4,17
림,U+B9BC,10
립,U+B9BD,7
릿,U+B9BF,1
마,U+B9C8,213
막,U+B9C9,22
만,U+B9CC,268
많,U+B9CE,11
말,U+B9D0,233
맙,U+B9D9,9
맛,U+B9DB,9
망,U+B9DD,54
맞,U+B9DE,14
맡,U+B9E1,24
맣,U+B9E3,1
매,U+B9E4,10
맥,U+B9E5,1
맴,U+B9F4,2
맹,U+B9F9,11
머,U+BA38,10
먹,U+BA39,31
먼,U+BA3C,12
멀,U+BA40,7
멈,U+BA48,5
멋,U+BA4B,11
멍,U+BA4D,3
메,U+BA54,52
멜,U+BA5C,68
멧,U+BA67,4
멩,U+BA69,1
며,U+BA70,13
면,U+BA74,212
멸,U+BA78,16
명,U+BA85,95
몇,U+BA87,12
모,U+BAA8,426
목,U+BAA9,29
몬,U+BAAC,1
몰,U+BAB0,9
몸,U+BAB8,51
못,U+BABB,40
묘,U+BB18,5
무,U+BB34,179
묵,U+BB35,4
문,U+BB38,40
묻,U+BB3B,1
물,U+BB3C,58
묽,U+BB3D,1
뭉,U+BB49,2
뭐,U+BB50,72
뭔,U+BB54,13
뭘,U+BB58,15
뭣,U+BB63,3
미,U+BBF8,130
믿,U+BBFF,11
밀,U+BC00,8
밌,U+BC0C,1
밑,U+BC11,1
바,U+BC14,90
박,U+BC15,4
밖,U+BC16,18
반,U+BC18,48
받,U+BC1B,28
발,U+BC1C,24
밝,U+BC1D,2
밟,U+BC1F,1
밤,U+BC24,2
밥,U+BC25,2
방,U+BC29,95
배,U+BC30,21
백,U+BC31,8
버,U+BC84,107
번,U+BC88,30
벌,U+BC8C,12
범,U+BC94,5
법,U+BC95,7
벗,U+BC97,9
베,U+BCA0,20
벤,U+BCA4,1
벨,U+BCA8,9
벼,U+BCBC,2
벽,U+BCBD,2
변,U+BCC0,14
별,U+BCC4,5
볍,U+BCCD,1
병,U+BCD1,70
보,U+BCF4,110
복,U+BCF5,10
본,U+BCF8,19
볼,U+BCFC,9
봉,U+BD09,16
봐,U+BD10,27
봤,U+BD24,14
부,U+BD80,113
분,U+BD84,54
불,U+BD88,27
붕,U+BD95,2
붙,U+BD99,4
브,U+BE0C,12
블,U+BE14,2
비,U+BE44,81
빈,U+BE48,3
빌,U+BE4C,5
빗,U+BE57,1
빙,U+BE59,1
빚,U+BE5A,1
빛,U+BE5B,21
빠,U+BE60,23
빨,U+BE68,8
빼,U+BE7C,3
뺏,U+BE8F,2
뻐,U+BED0,2
뻔,U+BED4,3
뼈,U+BF08,5
뽑,U+BF51,1
뿐,U+BFD0,35
뿜,U+BFDC,1
쁘,U+C058,4
쁜,U+C05C,3
쁨,U+C068,1
사,U+C0AC,185
산,U+C0B0,4
살,U+C0B4,56
삶,U+C0B6,2
삼,U+C0BC,7
상,U+C0C1,69
새,U+C0C8,35
색,U+C0C9,3
샌,U+C0CC,1
생,U+C0DD,132
서,U+C11C,294
석,U+C11D,127
섞,U+C11E,4
선,U+C120,37
섣,U+C123,1
설,U+C124,44
섬,U+C12C,6
섭,U+C12D,3
섰,U+C130,1
성,U+C131,36
세,U+C138,113
셈,U+C148,12
셔,U+C154,3
션,U+C158,7
셨,U+C168,8
셸,U+C178,1
소,U+C18C,82
속,U+C18D,48
손,U+C190,34
솔,U+C194,7
솟,U+C19F,1
송,U+C1A1,22
쇄,U+C1C4,4
수,U+C218,192
숙,U+C219,9
순,U+C21C,23
술,U+C220,7
숨,U+C228,20
숫,U+C22B,1
쉬,U+C26C,9
쉴,U+C274,1
쉽,U+C27D,2
슈,U+C288,200
슉,U+C289,1
스,U+C2A4,173
슨,U+C2A8,62
슬,U+C2AC,26
슴,U+C2B4,1
습,U+C2B5,72
승,U+C2B9,10
시,U+C2DC,191
식,U+C2DD,33
신,U+C2E0,336
실,U+C2E4,15
싫,U+C2EB,6
심,U+C2EC,24
십,U+C2ED,5
싶,U+C2F6,49
싸,U+C2F8,59
싹,U+C2F9,2
쌍,U+C30D,1
써,U+C368,8
썩,U+C369,4
썰,U+C370,1
쏴,U+C3F4,2
쐈,U+C408,1
쐬,U+C42C,1
쓰,U+C4F0,34
쓸,U+C4F8,14
씀,U+C500,4
씨,U+C528,61
씩,U+C529,3
씬,U+C52C,2
씽,U+C53D,2
아,U+C544,700
악,U+C545,5
안,U+C548,152
앉,U+C549,2
않,U+C54A,135
알,U+C54C,93
암,U+C554,2
압,U+C555,3
앗,U+C557,18
았,U+C558,70
앙,U+C559,3
