00B7	먼 옛날
00D9	[CLEAR]
0104	이 세계가 아직
012A	[CLEAR]
0147	어디까지 가도 끝없는 바다와
0188	[CLEAR]
01B1	어디까지 가도
01DF	한없이 넓은 하늘뿐이던 시절
0213	[CLEAR]
02D4	두 거대한 신이 태어났다
0315	[CLEAR]
0468	거신과 기신
0494	[CLEAR]
0820	신들은
084A	서로의 존망을 걸고 싸웠고
0887	[CLEAR]
0956	결국
096B	[CLEAR]
09D4	유해가 되었다
09F6	[CLEAR]
0A92	그로부터
0AAB	[CLEAR]
0AC0	무수한 낮과 밤이 지난 지금
0B04	[CLEAR]
0B22	우리들의 세계…
0B43	[CLEAR]
0B4B	거신의 유해 위에 펼쳐진 대지
0B93	[CLEAR]
0BA8	거신계는
0BC4	[CLEAR]
0BED	기신병에게
0C12	[CLEAR]
0C24	유린당하고 있었다
0C4C	[CLEAR]
0E8B	후퇴! 후퇴하라!
0EBB	[CLEAR]
0FE6	오지 마! 오지 마!
1013	[CLEAR]
1126	대인용 78형 기신병의 수는<n>측정 불가
116E	[CLEAR]
1379	우측의 혼란을 틈타 진군하다니
13BF	[CLEAR]
13FF	기계 괴물치곤<n>머리가 좀 돌아가는군
1452	[CLEAR]
145E	하지만 말이지…
1476	[CLEAR]
15C9	단반!
15DC	[CLEAR]
1611	전군에 철수 명령이다
1649	전선을 콜로니 6까지 후퇴
1684	[CLEAR]
16A2	그곳에 최종 방어선을 펼친다!
16ED	[CLEAR]
16F4	과연
1711	그건 현명하군
172F	[CLEAR]
173A	이대로라면 우리도<n>모두 저세상행이니 말이야
1788	그렇겠지
17A4	[CLEAR]
17AE	그럼 어서 후퇴하자고!
17CA	라고 말할 줄 알았나?
1807	뭐?
181C	[CLEAR]
1880	물러나지 않으면 죽겠지만
18AA	물러나면 미래를 손에 넣을 수 없어
18DD	그럼 손에 넣자고 미래를
1904	[CLEAR]
191F	뭐 어때
1938	[CLEAR]
193F	우리에겐 이 모나드가 있잖아
197C	손에 넣을 수 있어
1997	반드시!
19B0	[CLEAR]
19C6	이 멧돼지가!
19F6	[CLEAR]
1A03	더 이상은 네놈의 몸이<n>모나드를 따라갈 수 없어!
1A5A	[CLEAR]
1A66	움직임을 보면 안다고!
1A96	[CLEAR]
1A9C	그 나이에 벌써 노안인가?<n>딕슨
1ADA	[CLEAR]
1AE7	난 괜찮아
1B06	아직 이 녀석을 쥘 수 있어
1B30	[CLEAR]
1B70	흥
1B7C	[CLEAR]
1B93	멧돼지에겐<n>말이 안 통한다는 건가
1BE2	[CLEAR]
1BF3	좋아
1C08	[CLEAR]
1C14	나도 간다!
1C3C	네놈의 죽어 가는 얼굴
1C5A	제대로 봐 주지
1C72	[CLEAR]
1C7E	네가 보는 것만은<n>사양하고 싶은데
1CD3	[CLEAR]
1CE5	이봐 이봐 이봐!
1D09	철수 명령이 떨어졌다고<n>말했잖아!
1D42	난 사양이다!
1D56	안 돼 안 돼
1D6C	너도 오라고!
1D8E	[CLEAR]
1D99	이 녀석도 필요하거든
1DC7	[CLEAR]
1DF3	적의 제2진이<n>침공을 개시했습니다!
1E35	[CLEAR]
1E5E	자 그럼 단반…
1E8B	[CLEAR]
1E9F	녀석들에게 보여 주자고
1ED9	[CLEAR]
1F0E	우리 홈스의<n>살아가려는 의지를!
1F5B	[CLEAR]
1F68	그래!
1F80	[CLEAR]
1FD7	뭐가 살아가려는 의지란 거야?
2013	멍청이들 아냐?
203D	죽으면<n>농담으로도 못 써먹는다고
208E	어쩔 수 없지…
20B1	이렇게 된 이상<n>단반 녀석을 미끼로 써서
20F8	그 틈에 적당히…
2159	[CLEAR]
B818	[CLEAR]
