0095	이, 이봐…!
00C6	[CLEAR]
0113	본대가 나오셨나
013D	[CLEAR]
014D	무슨 일이 있어도 우리들을<n>멸망시키고 싶나 보군
01A5	[CLEAR]
01CA	녀석들도 그만큼 필사적인 거겠지?
0203	[CLEAR]
021E	그렇다면 승기는 있어!
0255	[CLEAR]
0272	…그렇겠지
0287	[CLEAR]
02E3	딕슨, 무무카<n>간다!
0332	[CLEAR]
068D	단반!
06AB	[CLEAR]
07BB	이 정도로 죽을 순 없지!
0806	[CLEAR]
0822	단반! 괜찮냐?
0852	[CLEAR]
088C	보면 알잖아?
08B7	아직 더 싸울 수 있어…
08DE	[CLEAR]
091A	그 잘난 영웅님도<n>슬슬 한계인 모양이군
0977	[CLEAR]
09A0	무무카?!<n>어디 가는 거야! 그쪽은…
09F1	[CLEAR]
0A00	미안하게 됐군!
0A2A	기신병 놈들의 목적은<n>네가 가진 그
0A6A	모나드다!
0A8D	힘껏 분발해서<n>놈들을 유인해 달라고!
0AD2	[CLEAR]
0ADD	나를 위해서 말이야!
0B14	[CLEAR]
0B18	무무카! 너는!
0B43	[CLEAR]
0B62	묘비 정도는 세워 줄 테니
0B96	걱정 말라고!
0BB8	[CLEAR]
0BC4	그럼 잘 있어라!
0C1B	[CLEAR]
0C21	기다려!
0C35	[CLEAR]
0D00	이봐 이봐<n>농담이지?!
0D49	[CLEAR]
0D63	뭐랄까…
0D96	우리들의 악운도<n>여기까지인 건가…?
0DE0	[CLEAR]
0E01	단반…?
0E16	[CLEAR]
0E24	딕슨<n>남은 병사들을 부탁한다…
0E5B	[CLEAR]
0E8F	단반<n>설마 너?!
0ECE	[CLEAR]
0F49	멍청한 놈들이군
0F7E	남은 건 소란이<n>잦아들 때까지 적당히 기다렸다가
0FC6	모나드를 주우러 가면…
1000	[CLEAR]
104F	아프잖아!
10A8	[CLEAR]
1196	기신병 놈들…
11B8	[CLEAR]
11CD	홈스를
11E6	[CLEAR]
11FC	거신계의 인간을
1224	[CLEAR]
123A	먹히는 걸 기다리기만 하는<n>먹이라고 생각하지 마라!
129A	[CLEAR]
B818	[CLEAR]
