00CC	71식 기신병!
0101	[CLEAR]
011C	…이 녀석의 광학계
0151	대공포의 조준기에 쓸 수 있었을 텐데
0190	[CLEAR]
01BF	안 되겠네<n>완전히 부서졌어
0211	[CLEAR]
0289	관절 부분은…
02BF	[CLEAR]
02D3	완전히 휘어 버렸나
02F9	[CLEAR]
0375	이래 가지곤<n>못 쓰겠지
03CC	[CLEAR]
05D3	69식이다!
0609	[CLEAR]
068E	이 녀석의 장갑
06BA	분명<n>방패로 딱 좋았었지
0700	[CLEAR]
071A	떼어 내서<n>가져갈 수 없을까…
0778	[CLEAR]
07E5	슈르크!
0804	[CLEAR]
0886	라인?!
08A5	[CLEAR]
08B8	이 녀석, 기신병이 아냐!<n>《콜로니 크래브》잖아!
0933	기신병의 장갑을<n>뒤집어쓰고 있었던 건가?!
098E	내가 녀석을 유인해서<n>다운시킬게!
09CF	녀석이 다운되면<n>그 틈에 《아츠》를 때려 넣어 줘!
0A24	[CLEAR]
B818	[CLEAR]
