00C5	슈르크<n>잘 있었냐?
010D	딕슨 씨!
012D	[CLEAR]
0141	언제 콜로니 9에<n>돌아오신 건가요?
0181	[CLEAR]
0197	방금 막 왔지
01BA	[CLEAR]
01CE	그나저나 슈르크
0203	모나드 연구는<n>제법 순조로운 모양이구나
0268	[CLEAR]
027A	여기를 너에게 맡긴 건<n>정답이었어
02CC	[CLEAR]
0327	딕슨 씨가 남겨 주신
0361	연구 자료가 있었기 때문이에요
039A	[CLEAR]
03ED	발동시킬 수 있는 거지?
0438	[CLEAR]
0451	네
0460	[CLEAR]
046D	일단 발동까지는 누구든 돼요
04A4	[CLEAR]
04D3	다만 그 이후에 제어가…
051E	[CLEAR]
053A	"녀석" 외에는 아직 무리인가…
0582	[CLEAR]
059B	네
05AC	[CLEAR]
05D3	단반 씨 이외의 사람도
0608	이 검을 다루는 게<n>가능해진다면
064D	[CLEAR]
065A	저희 홈스에게는
0687	더없는 전력이 되겠지만요…
06CF	[CLEAR]
06E8	그렇군…
0711	여기에 쓰여 있는<n>확장 기능이라는 건 뭐지?
0769	[CLEAR]
0771	아직 추측에 불과하지만…
07CC	아무래도 이 검에는
07F6	그저 기신병을 베는 능력만 있는 게<n>아닌 것 같아요
0841	[CLEAR]
085B	호오…?
0882	그건 또 흥미로운 의견이군
08C0	[CLEAR]
08D8	발동시켰을 때<n>중앙에 나오는 문양…
0926	[CLEAR]
0937	지금은 몇 층으로 덮인<n>유리 모양 플레이트의
09A5	가장 바깥쪽에 문양이 나타나고 있죠
09DB	[CLEAR]
09E5	그리고
0A02	각각의 층은<n>같은 구조로 되어 있고요…
0A58	[CLEAR]
0A74	그렇군
0A96	다른 층에도 문양이 나타날<n>가능성이 있다는 건가?
0ADF	[CLEAR]
0AFA	다시 말해…
0B1D	[CLEAR]
0B30	다른 힘이<n>숨겨져 있을지도 모른다
0B97	라는 건가
0BB0	[CLEAR]
0BF2	모나드…
0C09	[CLEAR]
0C24	이 힘의 비밀을<n>밝힐 수만 있다면…
0C7E	[CLEAR]
0CEB	오빠! 오빠!
0D3A	[CLEAR]
0D51	부상이 심한 사람을 우선시해라!
0D94	[CLEAR]
0DA1	꾸물대지 마!
0DCE	[CLEAR]
0DE6	단반 씨!
0E00	[CLEAR]
0E0B	그런 표정 짓지 마…<n>아직 살아 있다고
0E88	[CLEAR]
0EA6	슈르크…
0ECC	[CLEAR]
