011E	일어났어 오빠?
0154	[CLEAR]
01B1	그래… 밥이야?
01DA	[CLEAR]
01F0	이렇게 일부러<n>가져오지 않아도
0238	부르면 내려갔을 텐데
026C	[CLEAR]
0291	그런 소리 하지 말고
02BA	[CLEAR]
032D	먹여 줄까?
035C	[CLEAR]
0397	환자 취급은 하지 말아 줘
03CB	이제 1년 전이랑은 다르니까
03FF	[CLEAR]
0407	그건 그렇네
0429	[CLEAR]
046F	그때는 정말 이대로<n>죽는 거 아닌가 싶었어…
04BA	[CLEAR]
04EA	그래
050E	이젠 다시<n>모나드도 다룰 수 있어
055E	[CLEAR]
0571	안 돼!
05A5	기신병은 이제 없잖아
05DF	어째서 그런 걸!
0605	[CLEAR]
0613	각오를 말해 본 것뿐이야
0642	[CLEAR]
064A	미안
0664	[CLEAR]
0689	아냐…
06AE	[CLEAR]
06C5	그것보다 식기 전에 어서 먹어
0716	[CLEAR]
0723	오늘은 자신 있는 요리니까
075D	[CLEAR]
076A	그렇다면
0780	계속 여기에 있지 않아도 돼
07BC	[CLEAR]
07DD	얼른 가져다줘
0807	[CLEAR]
0816	응?
0834	[CLEAR]
083E	슈르크에게도 아직 따뜻할 때
086D	먹여 주고 싶은 거 아니야?
089C	[CLEAR]
08A9	괜찮아!
08D1	[CLEAR]
08D8	슈르크는 맛에 둔한걸
090E	[CLEAR]
091B	차가워도 맛있어라고 할 게 뻔해…
0974	[CLEAR]
0988	그렇다면
09A0	오늘에야말로<n>제대로 듣고 싶겠네
09F6	[CLEAR]
0A11	…응
0A30	[CLEAR]
0A4C	나는 괜찮으니까
0A69	[CLEAR]
0A74	얼른 다녀와
0A91	[CLEAR]
0AA6	…응
0AB5	[CLEAR]
0B85	…고마워
0BA5	오빠
0BB8	[CLEAR]
0D9B	그걸로 끝났을 리가 없어…
0DD7	나는
0DF7	다시 모나드를<n>쥐어야만 해…
0E42	[CLEAR]
B818	[CLEAR]
