007B	기신병의 단단한 장갑을
00B6	[CLEAR]
00D0	가볍게 베어 버리는 검
0111	[CLEAR]
0130	모나드…
0143	[CLEAR]
018E	먼 옛날
01A9	[CLEAR]
01B8	우리들이 살고 있는<n>이 거신계의 신이
01FB	[CLEAR]
020C	휘둘렀다고 전해지는 검
0245	[CLEAR]
02A0	…그 검에는 비밀이 있다
02D7	[CLEAR]
0300	그렇기 때문에
0317	[CLEAR]
0329	단반 씨는 그토록 많은<n>기신병을 쓰러뜨렸고
0374	[CLEAR]
0387	결국
039D	[CLEAR]
03BC	오른팔의 자유를 잃었다…
03FC	[CLEAR]
042E	그 힘의 비밀을
0460	[CLEAR]
0479	밝혀낼 수 있다면…
04A6	[CLEAR]
04D1	…슈르크!
04EA	[CLEAR]
0549	피오른!
0564	[CLEAR]
05C4	이거 맛있다!
05F6	굉장히 맛있어!
0621	[CLEAR]
0630	정말?
064F	[CLEAR]
0661	굉장히 맛있어!
0687	[CLEAR]
06A3	정말, 항상 그렇게 말한다니까
0704	[CLEAR]
071A	그랬던가…
0731	[CLEAR]
074B	평소에도 맛있었지만
077D	오늘은 굉장히 맛있어
07B2	[CLEAR]
07CD	정말?
07F0	응
0803	[CLEAR]
0814	다행이다…
0853	오늘은 비장의 재료를 써 봤거든
08A2	[CLEAR]
08B5	이랬는데도 평소랑 반응이 같았다면
08EC	정말로 맛에 둔하다고<n>확신할 참이었으니 말이야!
0944	응?
0951	[CLEAR]
096A	아, 아무것도 아니야
099E	[CLEAR]
0B30	기분 좋은 바람이네
0B68	[CLEAR]
0BB8	응
0BCE	[CLEAR]
0BDE	잊고 있었어. 이런 기분
0C19	[CLEAR]
0C32	이렇게나 조용한 곳이었구나
0C6C	[CLEAR]
0C84	슈르크는 항상<n>라인이랑 있잖아
0CD2	[CLEAR]
0CE0	떠들썩한 건 그 탓이겠지
0D16	[CLEAR]
0D2A	…그럴지도 모르겠네
0D47	[CLEAR]
0DDC	정말 조용하네…
0E0C	[CLEAR]
0E2C	앞으로도
0E5B	쭉 이런 나날이<n>계속되면 좋을 텐데…
0EA4	[CLEAR]
0F93	낙하물 경보다…
0FBA	[CLEAR]
0FE2	거신의 유실물…
1015	[CLEAR]
1025	최근에는 꽤 줄어들었는데 말이지
1058	[CLEAR]
1256	또 떨어질지도 몰라
1288	[CLEAR]
12A0	여긴 요격 대상 구역 밖이니까
12E9	연구동으로 돌아가자
130D	[CLEAR]
131A	응
132C	[CLEAR]
B818	[CLEAR]
7977	v
