0059	라인?
0072	[CLEAR]
0091	라인!
00A8	뭐 하는 거야!
00CD	[CLEAR]
00DA	슈, 슈르크?!
00F9	[CLEAR]
011B	아니…
012A	그, 그게…
0142	[CLEAR]
04A3	라인!!
04B8	[CLEAR]
04F5	어라…?
0505	[CLEAR]
0538	괜찮아?! 피오른!
0574	[CLEAR]
0588	으, 응
05A3	괜찮아
05B9	[CLEAR]
05D1	아…
05F1	[CLEAR]
0606	부서져 버렸네…
062A	[CLEAR]
064D	"부서져 버렸네…"라고?!
0690	내 몸은 걱정도<n>안 해 주는 거야?!
06D1	[CLEAR]
06DE	딱히 다친 곳도 없잖아?
0719	[CLEAR]
0728	모나드로는 사람을<n>벨 수 없으니까…
0764	[CLEAR]
0784	그런 것보다
07A2	[CLEAR]
07AD	라인, 너무해
07D1	[CLEAR]
07D7	미, 미안
0801	[CLEAR]
0816	부탁할 게 있었는데
084A	[CLEAR]
0857	없어서 말이지
087E	네가…
088D	나도 가끔은
08A9	바깥 공기를 쐬고<n>싶어질 때도 있다고
08F0	[CLEAR]
0937	…몸은
094B	[CLEAR]
095B	아직도 저려?
097C	[CLEAR]
09B7	모나드를 따로 보관해 놓는 이유
09F1	[CLEAR]
0A01	이제 알겠지?
0A19	[CLEAR]
0A2A	그래
0A3A	[CLEAR]
0A46	뼈저리게 알았어
0A68	[CLEAR]
0A78	조금 만져 보고<n>싶었을 뿐이었는데…
0AAF	[CLEAR]
0AC4	미안
0AD2	[CLEAR]
0AFE	그건 그렇고…
0B1F	[CLEAR]
0B36	모나드로는<n>사람을 벨 수 없다고…?
0B77	[CLEAR]
0B85	그 원 안에 쓰여 있는 문양…
0BC2	[CLEAR]
0BDA	아니, 문자일까?
0C0D	[CLEAR]
0C49	아마도
0C5E	지금 모나드가 발동시킬 수 있는<n>능력을 나타내는 것 같아
0CBC	[CLEAR]
0CCA	그게?
0CE3	[CLEAR]
0CFE	문자라고?
0D0E	[CLEAR]
0D42	그래…
0D4B	[CLEAR]
0D6D	다른 문자를 나오게 할<n>방법을 찾게 되면
0DAD	[CLEAR]
0DEA	분명…
0DF8	[CLEAR]
0E21	무슨 이야기인지는 알겠어…
0E4D	[CLEAR]
0E63	하지만 말이야!
0E8C	나보다 기계 걱정만<n>하는 건 대체 뭐야?!
0EEC	[CLEAR]
0EFF	대체 뭐냐니
0F23	[CLEAR]
0F38	지금 설명했던 대로…
0F60	[CLEAR]
0F79	그런 문제가 아니잖아!
0FB7	[CLEAR]
0FD5	미, 미안!
0FFD	[CLEAR]
1206	정말 모나드가 없으면 약해 빠졌지<n>네놈들은
127A	[CLEAR]
1282	너희들을 전부 없애 버릴 때까지<n>나는 싸우겠어…!
12F8	[CLEAR]
130F	이 녀석은 모두의 원수!
1342	[CLEAR]
1355	이 칼… 날 끝내기엔<n>모자랐던 모양이구나
13C5	[CLEAR]
13D0	안 돼!!!
1405	[CLEAR]
B818	[CLEAR]
