009A	이봐
00B1	이 경보음
00CE	평소랑은 달라!
00E6	[CLEAR]
00F8	이건 분명 2호 경보인 것 같은데!
012C	[CLEAR]
014A	설마…
0161	[CLEAR]
01B7	기신병?!
01D0	[CLEAR]
025D	대형 기신병 1!
0287	포터 10!
02A6	포터에서 나온<n>기신병의 수는
02DA	너무 많아 측정할 수 없습니다!
0312	멍청한 놈!
032B	[CLEAR]
0336	이만한 수가
035E	이렇게 접근할 때까지<n>눈치채지 못한 거냐!
03A8	하지만…
03BB	기신병은 이미 모두<n>사라진 줄로만…!
03E8	[CLEAR]
0469	이봐! 무슨 일이냐!
0486	응답해라!
049E	[CLEAR]
04C9	에잇!
04DE	[CLEAR]
0510	대공포 1호부터 3호!
0546	[CLEAR]
055A	요격 준비는 됐나!
0591	[CLEAR]
05AC	콜로니에 한 놈도<n>들이지 마라!
060C	[CLEAR]
063C	콜로니 내에서<n>싸울 수 있는 자들을 전부 모아라!
0687	[CLEAR]
069E	비전투원은 셸터로 피난이다!
06D8	[CLEAR]
06E6	어서 움직여!
070C	[CLEAR]
0919	좋았어!
0938	[CLEAR]
095D	아니, 잠깐만!
0970	[CLEAR]
099D	말도 안 돼!
09AD	[CLEAR]
09BB	전혀 통하지 않는다고?!
09E2	[CLEAR]
0AD9	저 기신병은 뭐야?!
0B01	[CLEAR]
0B11	저런 형태의 기신병…
0B40	본 적도 없다고!
0B60	에에잇, 쏴라!<n>격추시켜라!
0B9F	[CLEAR]
B818	[CLEAR]
