009B	이렇게나…
00B0	슈르크
00C7	뒤에도…!
00E8	[CLEAR]
013D	…라인
014F	이렇게 된 이상 둘이서<n>돌파구를 만들어야겠는데
019C	[CLEAR]
01A6	…그런 것 같네
01C7	[CLEAR]
01DF	피오른
01F9	기신병 놈들에게 빈틈이 생기면
0232	넌 먼저 가!
0254	[CLEAR]
0265	둘만으론 너무 무모해!
029D	나도 싸울 거야!
02BF	가야 해!
02DA	우리도 금방 따라갈 테니까!
030A	하지만…!
0329	이 마을은…
0348	[CLEAR]
0355	우리들 홈스는
0374	[CLEAR]
0380	1년 전의 전투에서
03A3	단반 씨와 다른 사람들이<n>지켜 준 거나 다름없어
03DE	[CLEAR]
03F7	이번엔 우리가 지킬 차례라고!
0431	그렇지!
0452	[CLEAR]
04D4	슈르크…
04FB	[CLEAR]
0502	라인…
0521	[CLEAR]
0534	그런 표정 짓지 마…
055C	이딴 녀석들<n>내가 후딱 해치워 버릴게
0596	슈르크를 다치게 하지도 않겠어
05BE	[CLEAR]
0614	…응! 믿을게
063B	[CLEAR]
0647	어서 가
065C	피오른!
066E	[CLEAR]
06EB	라인…!
06FF	응?
0712	라인도 죽지 마!
073C	[CLEAR]
074F	물론이지!
0762	[CLEAR]
0796	…이번엔 믿어 줬구나
07C6	나를!
07D6	[CLEAR]
07DE	…그런 것 같네!
07FB	[CLEAR]
B818	[CLEAR]
