0031	모나드가 안 통하잖아?!
0056	[CLEAR]
0073	대체 어떻게 된 거야!
00A4	[CLEAR]
00AE	어째서…
00D1	기신병이라면
00F5	그토록 간단하게<n>베어 내던 모나드가…?
012D	[CLEAR]
0176	…뭐지
0198	저 빛나는 선은?
01C0	[CLEAR]
01D7	다른 기신병에게는<n>저런 게 없었어…
0218	[CLEAR]
0228	설마…?!
0244	[CLEAR]
024D	저 빛나는 선이<n>모나드로 벨 수 없는 것과
0296	관계가 있는 건가?
02B5	[CLEAR]
02C1	슈르크, 라인, 물러나라!
0300	[CLEAR]
034C	여기는 내가 맡겠다!
0379	무모하다고
0391	단반도 이젠…!
03B1	[CLEAR]
0588	다들
05A3	이 틈에 도망쳐!
05CC	[CLEAR]
05D0	피오른!
05E3	[CLEAR]
07B0	지금 본 광경은…?!
07E3	[CLEAR]
07EC	피오른!
080B	오지 마!
0820	[CLEAR]
082B	더 이상 멋대로 하게 두지 않겠어!
0861	[CLEAR]
086C	이 마을은
088D	콜로니 9은
08AA	우리들이 지킬 거야!
08D2	[CLEAR]
0A7D	도망쳐! 피오른!
0AA4	도망쳐!
0AC2	[CLEAR]
0AF7	아직이야!
0B2F	[CLEAR]
0E2C	말도 안 돼…
0E56	[CLEAR]
0FDE	피오른!
0FF6	[CLEAR]
116A	안 돼!!!
11B7	[CLEAR]
150D	이 자식!!
155E	[CLEAR]
B818	[CLEAR]
