008E	…쥬쥬
00A1	[CLEAR]
0115	어디 갔었어?
013B	[CLEAR]
017C	쥬쥬!
01A4	[CLEAR]
02B7	너 설마?
02DD	[CLEAR]
032A	저번에 말했잖아?
036E	우리는 여기서 기다린다고
03AE	[CLEAR]
03DC	하지만…
03F0	[CLEAR]
03FF	쥬쥬!
0411	[CLEAR]
0432	…미안
044F	카르나…
0461	[CLEAR]
055F	그 차림새…
0585	설마 너희들…
05AA	방위대의 생존자들이야?!
05CE	[CLEAR]
05DF	콜로니 6는 무사한 거야?!
0613	모두는?!
062C	가드는?!
063B	[CLEAR]
0648	잠깐 기다려<n>대체 무슨 소리야
0684	[CLEAR]
06A6	저희는
06C4	콜로니 9에서 왔어요
06EE	[CLEAR]
06F9	콜로니 9이라고?
0723	[CLEAR]
073A	몬스터에게 습격당했는데
076C	구해 줬어
078A	[CLEAR]
079D	라인 씨랑 슈르크 씨
07C3	[CLEAR]
07F5	그렇구나…
080A	콜로니 6 사람이 아니었네…
083E	[CLEAR]
0889	쥬쥬를 구해 줘서 고마워
08CC	누나인 카르나야
08EB	[CLEAR]
08F5	쉬고 갔으면 좋겠다<n>싶어서 데려왔어
092C	괜찮지?
093B	[CLEAR]
0955	여기서?
0970	[CLEAR]
0994	…그래
09BF	신세를 진 모양이니
09F3	[CLEAR]
0A07	콜로니 6에
0A30	무슨 일 있었던 거야?
0A4B	[CLEAR]
0A66	저희는
0A7F	콜로니 6로 가는 중이거든요
0AAF	[CLEAR]
0ADB	콜로니 6는…
0B0B	[CLEAR]
0B20	우리들의 고향은…
0B54	[CLEAR]
0B5F	기신병에게 점령당했어
0B93	[CLEAR]
0C19	자세한 건 저쪽에서 이야기할게
0C59	따라와 줘
0C6C	[CLEAR]
B818	[CLEAR]
