008B	쥬쥬!
00A8	[CLEAR]
00EA	쥬쥬
0109	[CLEAR]
013A	지금 구해 줄게!
0165	[CLEAR]
01A8	기다려 카르나!
01EC	[CLEAR]
03BE	모나드에 또<n>새로운 문자가…!
03FD	[CLEAR]
044E	…할 수 있을까?
0468	[CLEAR]
04B3	『할 수 있어』
04D0	[CLEAR]
06A6	슈르크?!
06CA	[CLEAR]
06E2	이곳의 지하는
0702	녀석의 촉수로<n>둘러싸여 있어
0742	[CLEAR]
074B	섣불리 움직였다간 먹잇감이 될 거야
0780	나를 따라와 줘!
07A5	[CLEAR]
07C0	라인
07D7	뒤를 부탁해!
07F2	[CLEAR]
07FB	그래, 맡겨 두라고!
082B	[CLEAR]
0C5F	굉장해…
0C88	이게 너의 힘…
0CB4	[CLEAR]
0CD0	내 힘이 아니야
0CEC	[CLEAR]
0CF5	이 모나드가<n>보여 주는 거야!
0D2F	[CLEAR]
0D47	그래!
0D5C	[CLEAR]
0D7C	그리고 우리들이 두르고 있는<n>이 빛도
0DC3	모나드의 힘이지
0DE9	[CLEAR]
0E02	카르나!
0E1F	간다!
0E34	[CLEAR]
B818	[CLEAR]
