0101	가드!
0114	[CLEAR]
012C	…대검의 계곡에서의 전투로부터<n>1년도 지나지 않았는데
0186	녀석들
01A4	이렇게 많은 수를<n>준비해서 올 줄이야…
01EF	[CLEAR]
0263	네가 봐도<n>힘든 상황인가…
02B2	[CLEAR]
02DC	오다마 씨…
0301	[CLEAR]
035A	카르나 의무병
0392	새로운 임무를 내리겠다
03E3	쥬쥬와 함께 탈출정을 준비하고
0453	콜로니 탈출을 지휘하라
04AF	[CLEAR]
04F7	하지만…
050B	[CLEAR]
051D	탈출정에 탈 수 있는 수는<n>제한되어 있다
057D	[CLEAR]
0595	남은 사람들을 위해
05D4	우리들은 계속 싸워야 한다
0623	[CLEAR]
06B2	…그런 표정 짓지 마
06DC	[CLEAR]
06FF	너희가 도망쳐야
0740	안심하고 싸울 수 있어
0764	[CLEAR]
0806	…약속해 줘
0825	[CLEAR]
0840	카르나…?
085B	[CLEAR]
0884	우리는
08A7	콜로니 밖에서 기다리고 있을게
08D4	[CLEAR]
08EC	그러니까…
0915	1초라도 빨리 데리러 와 줘
0954	[CLEAR]
09D5	그래
09F4	[CLEAR]
0A1F	물론이지…
0A4B	약속할게
0A62	[CLEAR]
0BC1	가드…
0BE5	[CLEAR]
0BEE	약속이야
0C13	[CLEAR]
0C2A	그때까지
0C67	모두는 내가 지킬 테니까
0CAB	[CLEAR]
0D3C	지키게 놔둘 순 없지!
0D94	[CLEAR]
0DB8	카르나!
0DD7	네놈들 모두
0E09	이 몸의 먹이다!!
0E48	[CLEAR]
0E4A	카르나!!
0E74	쥬쥬!!
0EB2	[CLEAR]
0EBD	쥬쥬!
0ED5	[CLEAR]
B818	[CLEAR]
