0089	제길…!
00A5	[CLEAR]
0127	쥬쥬를 구하고 싶어도
0159	녀석에게 빈틈이 없어
0180	[CLEAR]
01AB	어떻게 해야…
01D1	[CLEAR]
0258	웬 놈이냐?!
0297	[CLEAR]
0299	조그마한 먹이다
02CF	[CLEAR]
0330	네놈들이<n>말한 그 먹이 말이다…!
037A	[CLEAR]
0410	애송이!
0429	이 틈에 쥬쥬를!
045D	[CLEAR]
048E	안 돼요!
04AB	오다마 씨!
04C7	[CLEAR]
04DD	서둘러라!
0514	[CLEAR]
0544	이대로 가다간
0569	쥬쥬는 구할 수 있어도
058F	오다마 씨가…
05B4	[CLEAR]
0609	원치 않는 비전을 봤다면
0647	미래를 바꾸면 돼
068A	…안 그래?
069C	[CLEAR]
079D	미래를
07BC	[CLEAR]
07DD	바꾼다…
07FA	[CLEAR]
0886	그렇구나! 저거라면!
08C1	[CLEAR]
08DC	라인!
08F2	[CLEAR]
08FF	쥬쥬를 부탁해!
091C	[CLEAR]
0920	슈, 슈르크?!
093E	[CLEAR]
0A22	이 자식…
0A55	그딴 걸로<n>이 몸을 이길 수 있다고…
0ABE	[CLEAR]
0AC7	생각 않는다
0AF9	하지만 이런 건 가능하지
0B3D	[CLEAR]
0B87	뭐야?
0BA9	[CLEAR]
0C3F	기신병의 몸도
0C79	끓어오르는 에테르에는<n>버틸 수 없을 게다!
0CEE	[CLEAR]
0D03	쥬쥬!
0D20	[CLEAR]
0D2B	쥬쥬!
0D41	[CLEAR]
0D66	카르나
0D7A	여기는 맡길게!
0D9C	[CLEAR]
0DDC	무모하다고! 할아범!!
0DFF	[CLEAR]
0F1F	이 자시이이익!
0F8C	[CLEAR]
0FC4	오다마 씨!!!
1000	[CLEAR]
1041	늦지 마라!!!
108C	[CLEAR]
115B	슈르크!
1178	[CLEAR]
118C	해냈어!
11AA	[CLEAR]
11D7	애송이…
11F8	[CLEAR]
121E	미래는 바꿀 수 있어
124B	[CLEAR]
1264	오다마 씨
128C	이런 데서<n>돌아가시면 안 돼요!
12D2	[CLEAR]
12ED	이런 데서!
1312	[CLEAR]
1406	나는…
1458	죽지 않아
14CF	[CLEAR]
153A	어서 도망치세요…
1583	[CLEAR]
15C5	오래는
15EB	못 버텨요…
1617	[CLEAR]
168D	이건…!
16AD	[CLEAR]
16F2	…곧 모두의 곁으로 가마
1746	하지만 그 전에…
1783	[CLEAR]
1793	가드!
17AE	[CLEAR]
17CE	너의
17F3	[CLEAR]
1808	너희들의 원수를 갚겠다!
1853	[CLEAR]
1A38	말도 안 돼!
1A57	바꿨을 텐데!
1A7C	[CLEAR]
1AA2	오다마 씨이이이!
1AE3	[CLEAR]
1B1A	가드…
1B35	너희들의 곁으로…
1B76	[CLEAR]
1DD9	늦지 않았어…!
1E08	[CLEAR]
1EC1	…어깨가 빠질 것 같아
1EFD	미안하지만
1F17	빨리 올라와 달라고
1F40	[CLEAR]
1F5D	너…
1F86	[CLEAR]
1FA9	감사라면
1FCB	슈르크와 비전한테 해
1FF4	[CLEAR]
2014	이 에테르를 봤을 때<n>딱 감이 왔지
205C	[CLEAR]
207E	여기구나 하고
20A3	[CLEAR]
B818	[CLEAR]
