013F	아직이다!
01BC	[CLEAR]
042A	쓰러뜨린 건가…?
044A	[CLEAR]
050F	제, 제법이군…
0578	모나드의 봉인을 풀지 않고도
05E5	이 몸을 이길 줄이야…
0654	[CLEAR]
065C	무슨 소리지?
0684	[CLEAR]
06A0	너는 모나드의<n>뭘 알고 있는 거야!
06D9	[CLEAR]
06F7	유감이지만
0732	알려 줄 수는 없지…
078A	[CLEAR]
07A4	진실은 네 스스로 찾아내라…
0825	진실…
0846	[CLEAR]
085C	그래
0880	[CLEAR]
0896	나는 이런 몸이 되고 나서
08E5	여러 가질 알게 됐지
0942	[CLEAR]
095A	의외로 이런 것도<n>나쁘지 않다고?
09D0	[CLEAR]
09EC	이런 몸이 되고 나서?
0A1B	[CLEAR]
0A3B	무슨 의미야!
0A5B	[CLEAR]
0ACA	잘 있어라! 애송이…
0B06	작별이다
0B33	[CLEAR]
0B3E	조드!
0B58	[CLEAR]
0C3E	위험해!
0C5B	[CLEAR]
B818	[CLEAR]
