0181	…갈색 놈은 쓰러뜨렸어
01B1	[CLEAR]
01E8	이걸로 콜로니 6 사람들의<n>원수를 갚았네
024F	[CLEAR]
026F	그래…
029A	[CLEAR]
02C6	쥬쥬!
02DC	[CLEAR]
02FA	카르나…
031D	[CLEAR]
0321	다행이다
034A	정신이 들었구나?
0367	[CLEAR]
0378	여기는…?
0399	[CLEAR]
03A8	콜로니 6 근처야
03D8	[CLEAR]
03EC	슈르크네가 쓰러뜨려 줬어
042B	그 녀석을
0442	[CLEAR]
045E	모두의 원수를…
047D	[CLEAR]
04AA	그렇구나…
04DA	[CLEAR]
04FD	죄송해요
051D	슈르크 씨, 라인 씨
0551	[CLEAR]
056C	제멋대로 한 행동 때문에<n>폐를 끼쳐서
05C5	[CLEAR]
05CA	괜찮대도 신경 쓰지 마
05FF	[CLEAR]
0604	모두의 원수를 갚았잖아?
062C	[CLEAR]
0644	네!
0660	[CLEAR]
0674	하지만 우리의 원수는…
06C0	[CLEAR]
06C9	그 검은 얼굴은
06FE	여기엔 없었어
0721	[CLEAR]
0737	그래…
0758	[CLEAR]
075D	과연 그럴까?
07A9	[CLEAR]
07B8	저, 저 녀석은…?!
0801	[CLEAR]
0815	검은 얼굴…!
083E	[CLEAR]
08A4	녀석뿐만이 아니야!
08CA	[CLEAR]
08DA	조드가!
08F0	[CLEAR]
090A	얼굴 있는 놈들이 이렇게나…!
0938	[CLEAR]
097C	한심하군
09AC	[CLEAR]
09BF	이런 쓰레기 같은 녀석들에게<n>쓰러질 줄이야
0A3B	조드도 허세만 가득한<n>녀석이었어
0A96	[CLEAR]
0AA7	이 녀석도<n>말할 줄 아는 건가?!
0AD3	[CLEAR]
0AE4	말할 줄 알고말고
0B1D	게다가 기억력도 좋다고
0B67	도망쳐! 피오른!
0BB1	도망쳐!
0BDE	…라면서 네놈들
0C08	좋은 비명을 질러댔었지
0C5A	[CLEAR]
0C83	기분 좋았다고<n>그 여자의 감촉
0CFD	[CLEAR]
0D3F	푸슉…하면서 들어가던데
0D85	[CLEAR]
0E4D	너만큼은…
0E90	[CLEAR]
0EAA	너만큼은 용서 못 해!
0F2C	[CLEAR]
0FA8	반가운데, 모나드!
101E	하지만 말이지
1044	통하질 않는다고!
10AC	그건!
10CD	[CLEAR]
10FA	슈르크!
1113	[CLEAR]
1116	슈르크!
1133	[CLEAR]
1135	너 이 자식!
1157	[CLEAR]
115B	꼬맹이
118A	그따위 고물이라도<n>모나드 사용자는 성가셔서 말이야
11FD	[CLEAR]
1211	뭐, 지난번 같은 일도 있고 하니
1248	[CLEAR]
127D	단칼에 보내 주도록 하지
12BA	[CLEAR]
1378	저 녀석은…!
139B	지금이다
13B3	가라 멧돼지!
13EE	[CLEAR]
158E	단반 씨!
15A8	[CLEAR]
15BB	어째서 여기에?!
15DC	[CLEAR]
15F2	기다리게 했구나
160F	[CLEAR]
1622	드디어 따라잡았다고!
1656	[CLEAR]
B818	[CLEAR]
