003E	쓰러뜨려도 계속…<n>끄, 끝이 없어
009C	[CLEAR]
00B6	졸병은 그렇다 치고
00DE	조드가 이렇게 많다니
010F	대체 어떻게 해야 하지!
012F	[CLEAR]
0135	모나드만 통한다면…
0166	이런 녀석들쯤!
0180	[CLEAR]
0192	방심하지 마라, 슈르크!
01C5	슈르크, 위험해!
01D9	[CLEAR]
01F7	라인!
0208	[CLEAR]
0253	꽤 하는군
0286	[CLEAR]
028D	어딜 보고 있는 거냐!
02B2	[CLEAR]
02BA	받아라!
02D3	[CLEAR]
02EC	통할 것 같냐!
030F	[CLEAR]
032F	귀찮은 녀석이군
0359	[CLEAR]
037B	총으로 안 된다면
03A9	[CLEAR]
03AF	이건 어떠냐!
03EF	[CLEAR]
0462	약해! 약해 빠졌다고!
04A2	[CLEAR]
04B0	홈스의 영웅님은
04E8	[CLEAR]
04F2	이 정도밖에 안 되나?
0529	[CLEAR]
0562	단반 씨!
0573	[CLEAR]
0589	아프냐?
05A7	[CLEAR]
05C0	아프겠지
05DE	[CLEAR]
0604	무리해서 모나드 따위를<n>휘두르니까 그렇게 되는 거다
0663	[CLEAR]
0677	그럴 자격도 없었던 주제에 말이지!
06F8	[CLEAR]
0711	너는…
072C	짜증 난다고 네놈들
0765	[CLEAR]
0773	벌레 같은 녀석들이 필사적으로 말이야
07C3	[CLEAR]
07CF	아무것도<n>못 하는 주제에!
0835	저 빛은?!
0855	[CLEAR]
085A	위험해!
086B	[CLEAR]
0877	다들 도망쳐!
0899	[CLEAR]
08A7	놓칠 것 같냐
08CD	[CLEAR]
08F5	전부 한꺼번에 보내 주마!
0935	[CLEAR]
098F	뭐야!
09A9	[CLEAR]
0A2C	테레시아인가?!
0A52	[CLEAR]
0B64	지금이다!
0B7B	[CLEAR]
0BF3	이, 이 꼬맹이가!!
0C3B	[CLEAR]
0C59	마, 말도 안 돼!
0CA9	[CLEAR]
0D8B	여기는…
0DA7	[CLEAR]
0DB8	탑 밖으로 나온 모양이네
0DE8	[CLEAR]
0DFE	잘 왔다
0E36	모나드를 잇는 자여
0E85	[CLEAR]
0E95	아버님!
0EAC	[CLEAR]
0F14	약해! 약해 빠졌어!
0F68	[CLEAR]
0FA2	네 이놈! 정체가 뭐냐?!
0FDA	[CLEAR]
0FEB	나는 네놈들을
1014	[CLEAR]
1018	용서 못 해…!
103D	[CLEAR]
10F1	뼈저리게 느끼게 해 주지!
1116	[CLEAR]
111E	이것이 피오른과
1147	[CLEAR]
1157	폐하께서 받으신 고통이다!!
1195	[CLEAR]
1201	방금 그건?!
1214	[CLEAR]
1252	짜증 난다고!!
1282	[CLEAR]
1294	뜬금없는 방해꾼이 나타났군
12D3	[CLEAR]
12E2	꼬맹이!
12F8	[CLEAR]
1304	다음에는 이렇게 안 될 거다!
1335	[CLEAR]
1358	도망치게 둘 것 같아!
1377	[CLEAR]
1388	거기 서!!
13A9	[CLEAR]
13CC	멈춰라
13DD	슈르크, 라인!
13FD	[CLEAR]
1442	왜 말리는데?!
1458	[CLEAR]
1466	피오른의 원수라고<n>저 녀석!
1497	[CLEAR]
14BB	지금 할 수 있는 일과<n>할 수 없는 일을 착각하지 마라!
1502	[CLEAR]
155C	네…
1585	[CLEAR]
15C6	저게 구해 준 거군…
15ED	[CLEAR]
160B	저 생물은 대체…
1641	[CLEAR]
16EC	고생했어
1707	[CLEAR]
173C	어땠어
1755	그는?
1764	[CLEAR]
17B9	…그래
17C7	[CLEAR]
1809	그렇다니 기대되는걸…
1842	[CLEAR]
B818	[CLEAR]
