059C	《페이스 네메시스》…
05C5	[CLEAR]
05FB	몸은 이걸로 완성했어
062C	[CLEAR]
066C	이제 영혼의 전송만 성공하면…
06BF	[CLEAR]
0794	저 손상은…
07BD	[CLEAR]
07E1	《페이스》의 장갑을<n>손상시킬 수 있는 존재라니…
0832	[CLEAR]
085F	설마!
087F	[CLEAR]
08A0	바네아 님
08C5	에길 님께서 부르십니다
08EC	[CLEAR]
0919	알겠습니다
0936	[CLEAR]
095A	이 《페이스》의 조정이<n>끝나는 대로
0992	가겠다고 전해 주세요
09B7	[CLEAR]
09E7	알겠습니다
0A02	[CLEAR]
0AD0	이걸로 제가 해야 할 일은<n>모두 끝났습니다
0B26	[CLEAR]
0B6F	당신이라면
0B88	[CLEAR]
0B9F	기신계
0BB7	[CLEAR]
0BD5	아니
0BE4	[CLEAR]
0C18	이 세계 전체에<n>새로운 시대를 가져와 줄 터…
0C82	[CLEAR]
0CD2	메이너스 님…
0CF5	[CLEAR]
B818	[CLEAR]
