0096	너는…
00AF	[CLEAR]
0102	안녕
011D	[CLEAR]
015A	어?
0164	[CLEAR]
017D	아, 안녕…
01B3	[CLEAR]
01EF	별일이네
0212	[CLEAR]
0229	이런 곳에 너 같은<n>홈스가 있다니
027D	[CLEAR]
0323	그건 내가 할 소리라는 표정이구나
037C	[CLEAR]
03B8	그럼 자기소개라도 할까
03F4	[CLEAR]
041D	내 이름은 알비스
0450	[CLEAR]
046F	알비스?
0487	[CLEAR]
04B1	어, 나는…
04D5	[CLEAR]
04E3	슈르크
04FB	[CLEAR]
0532	맞지?
0542	[CLEAR]
056D	어떻게 내 이름을?
058E	[CLEAR]
05CB	모나드를 다루며
05EA	[CLEAR]
05F1	콜로니 9을 습격한 기신병을<n>퇴치한 영웅
0663	[CLEAR]
06A9	홈스라면 모르는 사람은 없어
06DD	[CLEAR]
073B	너 어디선가…
076E	[CLEAR]
0814	왔나…
0825	[CLEAR]
083B	응?
0845	[CLEAR]
085F	모나드는 평상시에도<n>특정 파장의 에테르파를 내뿜고 있어
08C7	[CLEAR]
08F0	거기에 이끌린 거야
0910	[CLEAR]
09FC	뭐야 이 녀석들은?!
0A22	[CLEAR]
0A78	알비스!
0A92	너는 도망쳐!
0AAE	[CLEAR]
0AB8	여긴 내가 맡을 테니까!
0ADF	[CLEAR]
0BD4	왼쪽에서 공격?!
0BFE	[CLEAR]
0C29	그럼 오른쪽으로
0C4E	[CLEAR]
0D87	앗?! 제길!
0DB6	[CLEAR]
0E01	이번에는 위에서냐!
0E2A	[CLEAR]
0FCE	말도 안 돼…
0FF7	[CLEAR]
1006	비전으로 분명히 봤는데…
1036	[CLEAR]
104C	내 움직임이 읽히고 있어?!
107D	[CLEAR]
108B	이 녀석들은 테레시아야
10B1	[CLEAR]
10E2	테레시아?
10FB	[CLEAR]
1145	이 녀석들은 사람의 생각을 읽어
1176	[CLEAR]
11A6	네가 아무리 "미래를 보고"<n>행동을 결정해도
11F1	[CLEAR]
120C	"그 생각"을 읽혀 버리면<n>전부 소용없지
125A	[CLEAR]
12B3	너는 어떻게
12DB	비전에 대해서 알고 있는 거야?!
1309	[CLEAR]
132B	방법은 하나
1349	[CLEAR]
1372	이 녀석들의 움직임을 막고<n>지각할 수단을 끊어 버리는 것!
13C2	[CLEAR]
13E0	안 돼! 알비스!
1408	[CLEAR]
1413	그걸 쓰면…!
1430	[CLEAR]
147C	저 문자는?!
1496	[CLEAR]
1736	굉장해…
1752	[CLEAR]
179A	뭘 멍하니 있는 거야!<n>슈르크!
17C3	[CLEAR]
1886	이건 "네가 써야 할 것"이잖아!
18BC	[CLEAR]
18EB	방금 모나드에서 난 빛은 뭐야?!
1915	[CLEAR]
192A	너도 할 수 있어
194C	[CLEAR]
195F	자!
196E	[CLEAR]
1A45	나도
1A59	[CLEAR]
1A85	할 수 있어
1A93	[CLEAR]
1ACE	모나드의 빛
1AEC	[CLEAR]
1B65	움직임을 막는다
1B87	[CLEAR]
B818	[CLEAR]
