005C	봐, 할 수 있지?
009D	[CLEAR]
00B2	응, 고마워…
00FA	[CLEAR]
010F	아니! 그보다!
015B	너도 모나드를 쓸 수 있다니
019C	깜짝 놀랐어!
01BC	[CLEAR]
01F8	이 테레시아는 본체가 아니야
0230	[CLEAR]
0257	말하자면 분신
027C	[CLEAR]
02D3	본체는 아직<n>여기 마크나 원시림 어딘가에 있어
032A	[CLEAR]
0394	…상처
03B1	[CLEAR]
03DF	그렇군
040A	그 녀석은 상처를 치유하고 있구나
0456	"그녀"에게 입은 상처를
0488	[CLEAR]
04A6	그녀?
04BF	[CLEAR]
053C	모나드는
0551	[CLEAR]
058D	이 세계를 다스리는 규율에<n>간섭할 수 있는 신의 검이야
05FA	[CLEAR]
0660	물질
0681	[CLEAR]
069C	비물질을 안 가리고 말이지
06C9	[CLEAR]
06FF	알비스
0717	[CLEAR]
073B	넌 어째서 모나드를<n>그렇게 잘 아는 거야?
0786	[CLEAR]
07B2	너는 대체…
07DA	[CLEAR]
B818	[CLEAR]
