01E8	잠깐 잠깐 잠깐
0210	큰 공룡
022E	또 수염 자랐어모!
025B	아무리 그래도 이래선 끝이 없겠군
028F	[CLEAR]
02B9	에테르탄을 쏴도
02EA	전혀 효과가 없어!
0318	제길!
0334	재생력이 너무 뛰어나!
0360	[CLEAR]
03EB	이제 됐다 슈르크!!
0416	[CLEAR]
043D	역시 테레시아를 쓰러뜨리는 건
0470	불가능하다!
048B	[CLEAR]
04C0	죽은 자들을 위해<n>위험을 무릅쓰는 건…
0514	[CLEAR]
0535	안 돼 멜리아!
0565	네가 잃은 건
0594	소중한 동료들이잖아?
05C9	[CLEAR]
05E9	그 원수를 갚고 싶다는 마음
0641	소중한 사람들을 잃은 원통함
0680	[CLEAR]
06B1	우리도 알아
06DA	[CLEAR]
071A	이런 감정은
0743	더 이상 누구도 겪어선<n>안 되는 거야!
0780	[CLEAR]
07A5	그러니까
07BA	[CLEAR]
07CF	저 녀석은 반드시 쓰러뜨리자!
080B	[CLEAR]
0827	저 녀석의 움직임은 내가 막을게!
086A	그 틈에
0889	너는 가장 강력한 공격을<n>먹이는 거야!
08D5	[CLEAR]
08E9	슈르크…
0910	간다!!
092E	[CLEAR]
B818	[CLEAR]
