01E9	네놈들
020E	어떻게 모나드도 없이<n>그런 힘을…
0262	[CLEAR]
0270	아직…
029A	싸울 생각이라면!
02B5	[CLEAR]
02C1	말 한번 잘하는군…
02F8	[CLEAR]
03A9	관둔다 관둬!
03D5	[CLEAR]
03E9	더 이상은 수지가 안 맞아
0424	[CLEAR]
0428	딕슨 씨…!
043D	[CLEAR]
0464	신의 힘은 가지고 싶었지만
04A1	[CLEAR]
04B1	순교자가<n>될 생각은 없어서 말이지
0500	[CLEAR]
052C	가라
0547	[CLEAR]
0557	목숨을 걸면서까지<n>붙잡을 이유는 없어
05B3	[CLEAR]
05BD	웃기지 마!
05E2	그런 걸로 우리가…!
0608	[CLEAR]
0612	슈르크!
0625	[CLEAR]
062A	가자…
063C	[CLEAR]
0659	우리의 목적은
0681	[CLEAR]
0693	잔자야
06A5	[CLEAR]
06D5	그, 그래…
06FE	[CLEAR]
097D	…나 참
09B6	이렇게까지 강해졌을 줄이야
0A00	[CLEAR]
0A21	하지만
0A3B	[CLEAR]
0A55	내가 죽는 모습을 보여 줄 순 없지
0AA3	[CLEAR]
0AC8	너는 평생
0AEA	[CLEAR]
0B09	나보다 강해졌다는 걸 모른 채
0B60	[CLEAR]
0B7A	살아가라…
0B97	[CLEAR]
0BDD	잘 있으라고
0BFD	[CLEAR]
0CB5	이게…
0CCC	[CLEAR]
0CF8	양치기를 동경했던 양의 한계
0D63	[CLEAR]
0D83	인 건가…
0D9B	[CLEAR]
0DD6	슈르크, 저 정도 상처라면…
0E1A	[CLEAR]
B818	[CLEAR]
