006F	예쁘다…
008B	[CLEAR]
00BC	저건
00CD	[CLEAR]
00E2	물의 덩어리?
0103	[CLEAR]
0129	드디어 왔구나…
0153	[CLEAR]
015A	슈르크
0172	[CLEAR]
01C1	너는…!
01DB	[CLEAR]
020C	왜 그래, 슈르크?
023A	[CLEAR]
024C	기대하고 있을게…
027A	[CLEAR]
028F	네가 선택할 길을
02C6	[CLEAR]
02DA	그리고 길을 선택한 뒤
0311	[CLEAR]
0320	다시 만나자…
033A	[CLEAR]
05CD	어서 와라, 슈르크…
0606	[CLEAR]
0639	그 목소리
0654	[CLEAR]
0670	잔자인가?!
0686	[CLEAR]
06C2	하지만 모습이 다른데?
06FF	[CLEAR]
0712	그래, 원래는
074F	[CLEAR]
075E	슈르크로부터 얻은<n>이 몸을 그릇으로 삼아
07CD	다음 천 년을 살 예정이었다
0817	[CLEAR]
0839	하지만
084E	[CLEAR]
085C	뜻밖의 힘이<n>손에 들어와서 말이지…
08BB	[CLEAR]
08EA	메이너스의 모나드…
090F	[CLEAR]
092B	그렇다
0943	[CLEAR]
0954	너에게 맡겨 두었던<n>나의 모나드뿐 아니라
09B4	[CLEAR]
09C7	또 다른 창세의 힘까지
0A15	이 손에 넣을 수 있었지
0A5C	[CLEAR]
0A7A	모든 것을 손에 넣은 나에게
0ABC	[CLEAR]
0B26	더 이상 거신계의 생명은 필요 없다!
0B77	[CLEAR]
0BB2	모든 건 네 덕분이다
0BF8	슈르크
0C12	[CLEAR]
0C2B	어떤 사도들보다도
0C53	[CLEAR]
0C5F	너는 도움이 되었다
0CA8	[CLEAR]
0CC8	나에게 반역한 죄도
0D02	[CLEAR]
0D12	모나드만 있다면<n>용서해 줄 수 있다
0D76	[CLEAR]
0D95	상이라도 줄 셈이냐?
0DCA	[CLEAR]
0DE3	그 말대로다
0E0D	[CLEAR]
0E22	나의 새로운 사도로<n>임명하마
0E80	[CLEAR]
0E8C	영원한 생명
0EB1	[CLEAR]
0EC6	강인한 육체
0EEF	[CLEAR]
0F04	이제 죽음의 공포에<n>겁낼 필요는 없다
0F5E	[CLEAR]
0F6A	그 오만함으로
0F8E	[CLEAR]
0FAD	하이엔터를
0FC7	[CLEAR]
0FE6	아니, 거신계에 사는 자들을<n>농락한 자가
105E	감히 무슨 말을!
1076	[CLEAR]
108A	농락해?
10AF	[CLEAR]
10D2	그렇다…
10E6	[CLEAR]
1114	테레시아로 변해 버린 자들을
114D	[CLEAR]
116A	내가 어떤 마음으로<n>쓰러뜨려 왔는지…!
11AF	[CLEAR]
11D9	무슨 소리를 하는 거지?
1207	[CLEAR]
1213	그 모습이야말로 그들의 본질
125F	[CLEAR]
1271	변하게 만든 것이 아니라
1298	[CLEAR]
12AA	되돌린 것이다
12C8	[CLEAR]
12E0	테레시아는 내 세포의 일부
1330	[CLEAR]
1340	그것에 장난삼아<n>지성을 선사한 것이
13A0	[CLEAR]
13B2	하이엔터로 대표되는<n>원초 생명인 것이다
1425	[CLEAR]
1453	한순간이긴 하나
147D	[CLEAR]
148A	지성체를 흉내 낼 수 있었던 것이지
14D4	[CLEAR]
