0007	어째서냐
0020	[CLEAR]
002E	어째서 비전을 쓸 수 있는 거지?!
0066	[CLEAR]
007C	모나드가 그 손에<n>없는데도!
00BA	[CLEAR]
00D7	모르겠어…
00EE	[CLEAR]
0108	하지만
0117	[CLEAR]
012C	마음속 깊은 곳에서<n>떠올라
0166	[CLEAR]
017E	쓰러뜨려야 할 상대가!
01A2	[CLEAR]
01B7	바꿔야 할 미래의 모습이!
01EA	[CLEAR]
020D	보인 미래는<n>절대적인 것이 아냐
0254	[CLEAR]
0268	우리가 선택한 길의 수만큼
02AB	무한히 변화해
02CF	[CLEAR]
02E1	그건 당신도<n>잘 알고 있을 거야
031C	[CLEAR]
0330	지금까지 그렇게 해 온 것은…
035E	[CLEAR]
0369	바로 당신 자신이니까!
0394	[CLEAR]
03A4	그것은 신에게만<n>허락된 일이다!
0411	[CLEAR]
041F	그게 어쨌다는 거야!
0441	[CLEAR]
049B	보이건 보이지 않건
04C1	[CLEAR]
04D1	그런 건 중요하지 않아
04FF	[CLEAR]
051E	선택하고자 하는 의지
0547	[CLEAR]
055B	손에 넣고자 하는 힘…
0587	[CLEAR]
059A	우리는 지금
05B1	[CLEAR]
05CB	그것을 손에 넣었어!
05F3	[CLEAR]
06F0	그것은…
0712	[CLEAR]
0728	모나드!
0746	[CLEAR]
0761	당신만 선택하게 놔두지 않을 거야
0798	[CLEAR]
07B9	이 세계에 살아가는 자 모두에게
07F6	선택할 자유가 있어
081C	[CLEAR]
083A	그것이 미래야!
085F	[CLEAR]
0872	제3의 모나드라니…
08B1	[CLEAR]
08C8	어째서 그런 것이?!
08FD	[CLEAR]
0914	어째서 너희 같은 것들이?!
0959	[CLEAR]
B818	[CLEAR]
