00D0	말도 안 돼…
00F1	[CLEAR]
00F9	시, 신의 힘을 초월하다니…
0155	[CLEAR]
0175	잔자…
0190	[CLEAR]
01A9	이것이 세계의 섭리야
01D8	[CLEAR]
01F0	신이라 해도
0210	[CLEAR]
0220	섭리에 따라 설정된<n>한정적인 능력을 행사하는 자에 불과해
0294	[CLEAR]
0301	그 힘은
0322	[CLEAR]
032C	거대하지만 무한하지 않아
0365	[CLEAR]
0386	이 목소리는!
039D	[CLEAR]
03A8	네놈은 알비스?!
03E6	[CLEAR]
03ED	사도인 주제에 네놈이?!
042E	[CLEAR]
043D	나는 모나드
045E	[CLEAR]
0477	나는…
048D	[CLEAR]
049D	세계의 시작이자
04D3	[CLEAR]
04DE	끝을 고하는 자
050A	[CLEAR]
051D	뭐냐…
0533	[CLEAR]
053E	무슨 소리를 하는 거냐?
0564	[CLEAR]
057E	자, 슈르크
05A2	[CLEAR]
05AC	선택할 시간이야
05CA	[CLEAR]
05DD	잔자의 세계인지
0604	[CLEAR]
0619	너희의 세계인지
0644	[CLEAR]
064F	그런 건…
066B	[CLEAR]
0691	처음부터 정해져 있어!
06BE	[CLEAR]
07A5	그, 그 문자는!
07EA	[CLEAR]
0804	우리는
081B	[CLEAR]
0836	우리들의 힘으로 신을 베고
086C	[CLEAR]
0884	그리고
0896	[CLEAR]
08A9	미래를 만들어 가겠어!
08D0	[CLEAR]
0ADD	사라진다…
0AFD	[CLEAR]
0B17	내가 사라져 간다…
0B4D	[CLEAR]
0B6B	창세부터 이어진
0BB1	[CLEAR]
0BC0	신의 기억이…
0BF0	[CLEAR]
0C0A	사라져 간다…
0C34	[CLEAR]
B818	[CLEAR]
